*** True densities ***
( -40 , 0 )
( 16 , 0.012525 )
( 17 , 0.0076584 )
( 18 , 0.0097959 )
( 19 , 0.0055687 )
( 20 , 0.0069269 )
( 21 , 0.0045211 )
( 22 , 0.0042602 )
( 23 , 0.0026131 )
( 24 , 0.0033791 )
( 25 , 0.0017179 )
( 26 , 0.0016918 )
( 27 , 0.0011038 )
( 28 , 0.0010466 )
( 29 , 0.00051927 )
( 30 , 0.00056706 )
( 31 , 0.00024369 )
( 32 , 0.00021866 )
( 33 , 0.00010650 )
( 34 , 6.3130E-5 )
( 35 , 0 )
( 36 , 0 )
( 37 , 0 )
( 38 , 0 )
( 39 , 0 )
( 40 , 0 )
*** Smooth interpolation using the Sato-Tate density ***
( -40 , 0 )
( -39 , 0 )
( -38 , 0 )
( -37 , 0 )
( -36 , 0 )
( -35 , 0 )
( -34 , 6.0067E-5 )
( -33 , 0.00011658 )
( -32 , 0.00019307 )
( -31 , 0.00030575 )
( -30 , 0.00045696 )
( -29 , 0.00065159 )
( -28 , 0.00090536 )
( -27 , 0.0012181 )
( -26 , 0.0016062 )
( -25 , 0.0020705 )
( -24 , 0.0026261 )
( -23 , 0.0032742 )
( -22 , 0.0040299 )
( -21 , 0.0048919 )
( -20 , 0.0058762 )
( -19 , 0.0069783 )
( -18 , 0.0082139 )
( -17 , 0.0095761 )
( -16 , 0.011076 )
( -15 , 0.012709 )
( -14 , 0.014474 )
( -13 , 0.016374 )
( -12 , 0.018391 )
( -11 , 0.020531 )
( -10 , 0.022769 )
( -9 , 0.025095 )
( -8 , 0.027491 )
( -7 , 0.029914 )
( -6 , 0.032354 )
( -5 , 0.034739 )
( -4 , 0.037030 )
( -3 , 0.039151 )
( -2 , 0.040968 )
( -1 , 0.042390 )
( 0 , 0.042989 )
( 1 , 0.042390 )
( 2 , 0.040968 )
( 3 , 0.039151 )
( 4 , 0.037030 )
( 5 , 0.034739 )
( 6 , 0.032354 )
( 7 , 0.029914 )
( 8 , 0.027491 )
( 9 , 0.025095 )
( 10 , 0.022769 )
( 11 , 0.020531 )
( 12 , 0.018391 )
( 13 , 0.016374 )
( 14 , 0.014474 )
( 15 , 0.012709 )
( 16 , 0.011076 )
( 17 , 0.0095761 )
( 18 , 0.0082139 )
( 19 , 0.0069783 )
( 20 , 0.0058762 )
( 21 , 0.0048919 )
( 22 , 0.0040299 )
( 23 , 0.0032742 )
( 24 , 0.0026261 )
( 25 , 0.0020705 )
( 26 , 0.0016062 )
( 27 , 0.0012181 )
( 28 , 0.00090536 )
( 29 , 0.00065159 )
( 30 , 0.00045696 )
( 31 , 0.00030575 )
( 32 , 0.00019307 )
( 33 , 0.00011658 )
( 34 , 6.0067E-5 )
( 35 , 0 )
( 36 , 0 )
( 37 , 0 )
( 38 , 0 )
( 39 , 0 )
( 40 , 0 )
Distance between prediction and measurement 0.01116822055
Distance between Sato Tate prediction and measurement 0.1516643283
